Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
TBC1D4	0.550106668894092	9.81668743842365	6.13273658855876	1.16552405547281e-09	3.93797016540464e-09	11.0632546567823
ABCB5	-1.16929889074507	2.4175657635468	-6.13192267262171	1.17132431138873e-09	3.95690741522011e-09	11.0584271233682
TMEM182	0.413179467646719	6.54906912972085	6.13138258249717	1.17518872821067e-09	3.96929988721189e-09	11.0552240498482
TMPRSS7	-0.427330557968594	0.575273234811166	-6.13083875641056	1.17909244982952e-09	3.98182095947096e-09	11.0519990876593
RND3	0.740796785833611	9.61241436781609	6.13079347714608	1.17941804609432e-09	3.98225646373826e-09	11.0517305876263
EYA4	-1.09039836061922	2.83533464696223	-6.13057220663602	1.18101043127263e-09	3.98696837041728e-09	11.0504185096574
PDCL3	0.297773279875255	9.00266896551724	6.13015565130013	1.18401389033275e-09	3.99644155116981e-09	11.0479485630008
SLC14A1	-0.938172814344578	4.82862553366174	-6.12953353392333	1.18851338569503e-09	4.01096035445686e-09	11.0442600389301
VIP	-0.587987515313509	1.26354523809524	-6.12940484740797	1.18944619854669e-09	4.01343958896493e-09	11.0434971025381
PLP2	0.423884969373002	11.1945926929392	6.12933803884331	1.18993075706782e-09	4.01440574581669e-09	11.0431010243543
SETDB2	-0.347210023387898	8.34869490968801	-6.12873535431832	1.19431071014633e-09	4.02851107626306e-09	11.0395281600132
TBC1D23	0.269625581913378	9.77547660098522	6.12862324236096	1.19512720739266e-09	4.03059387245898e-09	11.0388635687663
ESRP1	0.779491979062271	11.3497821018062	6.12834625118343	1.19714683596418e-09	4.036732887437e-09	11.0372216349019
C4orf6	0.688553233099454	0.808481280788177	6.12731839368796	1.20467042224618e-09	4.06142590166967e-09	11.0311293645004
WDR91	0.339171393250913	8.51909860426929	6.12709320413003	1.20632489017362e-09	4.06632684350803e-09	11.0297947594227
SCARNA12	0.537030800757321	1.83142413793103	6.12638666933654	1.21153021065395e-09	4.08319351408951e-09	11.0256077201057
TPMT	0.339464114043887	9.46519967159277	6.12614391733921	1.21332371564625e-09	4.08855771868018e-09	11.0241692373155
NAA10	0.395718719233772	9.72200155993432	6.12527366154017	1.21977467977023e-09	4.10961184739756e-09	11.0190127767669
DBX2	-0.841770043434678	2.07067183908046	-6.12497952308723	1.22196260667811e-09	4.11629852136477e-09	11.0172700962488
HIC1	-0.650136540817462	7.1176750410509	-6.12307706376479	1.2362067046964e-09	4.16358858864318e-09	11.0060005055574
