Gene	RF_Importance
CXCL1	0.158291130836301
GPRIN2	0.157730779164718
CBS	0.157271298072147
SHC2	0.15703771769069
CDC20B	0.15693347137394
ATP10B	0.156151103692954
GDF5	0.155910905599971
PLA2G10	0.155810432899758
RAPGEF3	0.15556419014799
ROPN1B	0.155357803890419
KCNJ3	0.155336583800762
CSN3	0.15525775428499
LIPG	0.15514461987299
IRS1	0.153502372597543
HPDL	0.152653713107069
ULBP2	0.152319042098202
MCM10	0.152276132952952
E2F8	0.151399224205678
MPP6	0.151183751095816
CLSPN	0.151119845803355
UNC5A	0.151119015157702
ST8SIA1	0.15087015542705
FAM198B	0.150782520262523
SPIB	0.150753027065284
CTSG	0.150602154413436
NRTN	0.149920193131609
E2F2	0.149125489336283
S100A1	0.149058255465008
NAV3	0.14867385976991
RHBDL1	0.14858517013496
CCNB2	0.14803489229041
DSG3	0.147592416158118
KLK7	0.147213937130592
OTX1	0.147104175523239
SLC7A2	0.146951484921559
ZNF695	0.146793512277499
CCDC67	0.146641136008903
RTN4RL1	0.146592800664494
DLX6	0.146245062790646
MUC15	0.146177012582337
RAB27B	0.146144016596905
BCL2A1	0.146123844317078
MSL3L2	0.146051525285165
SLC16A10	0.145923493746763
CDH1	0.145892131278028
IL8	0.145628355767027
RET	0.145420351353503
CAMKV	0.145103225703329
SOX11	0.144526702138963
PIF1	0.14452274959133
PAX9	0.14370774630333
KLK5	0.143679185052375
INPP4B	0.143600848750182
RLBP1	0.143518352059848
FBP1	0.143506595819776
PP14571	0.143444826136605
CDC25A	0.143380050562981
CHRM1	0.143327027135693
CXCL13	0.142942843235132
CD38	0.142847792885492
FOXG1	0.142462033336053
LOC286467	0.141782883493903
ROBO2	0.141584096908777
NR2E1	0.140787493100113
REEP1	0.140514049607426
REEP6	0.14005235822665
NXNL2	0.140032356708589
SLC15A1	0.139538230508174
C15orf42	0.139451371103323
LOC121838	0.139398180722965
C3orf57	0.139269942702424
?|90288	0.1391449833192
GALNT6	0.139081359410131
MATN4	0.138855593388784
ZNF385B	0.13885314097414
RRM2	0.138666543508202
ARL9	0.138348912729448
CHST6	0.138265009110602
LIN28B	0.138002851119189
SERHL2	0.137949177692546
HRASLS5	0.13787279084937
CCNA2	0.13777929664218
EEF1A2	0.137756559538745
ULBP1	0.13748247427838
C1orf106	0.137107676627385
SLC7A5	0.136908758341331
FAM72D	0.136876915079712
GPR81	0.136224622139545
PM20D2	0.136046387091226
CACNA1D	0.135965907799638
LRRC50	0.135768403185727
GPIHBP1	0.135759837496213
VAX1	0.13558690635435
LFNG	0.135555620919812
SDR16C5	0.135490948227209
CASC1	0.135422946489096
SYTL4	0.13487083587791
SRCIN1	0.134648244380321
C16orf71	0.134396876162725
NOSTRIN	0.134291982857365
KRT6C	0.134173433848579
CHRNA5	0.133556681709614
CHAC1	0.133382876529509
CRHR1	0.133294082777039
SOSTDC1	0.133257626533044
PTGS2	0.132957267836142
C4orf31	0.132781017949737
KCNMA1	0.132609375770923
SLC39A6	0.132211602956163
UBE2C	0.13186835865743
NXPH3	0.131822025375841
RND1	0.131805242358819
LRRN4CL	0.131751197764755
MEIS3	0.131248517382283
MAPK4	0.131156456502659
C16orf45	0.130960020879775
SLCO5A1	0.130713344019337
LOC157381	0.130592630819027
C20orf103	0.13027157202238
MMP1	0.129998373584573
