Gene	RF_Importance	LASSO_Coefficient	Degree	logFC	adj.P.Val	Is_Mutated	Score
AR	0.178185058269929	0	0	-3.64623233990421	1.41883000389597e-54	FALSE	1.61057805892933
GRPR	0.158535056916076	0	0	-3.67048701414412	2.08835758808073e-37	FALSE	1.57172698989344
CYP4Z2P	0.0600891353351048	0	0	-3.93480717006348	6.15959870112002e-41	FALSE	1.56998423837835
EEF1A2	0.137756559538745	0	0	-3.6976897961911	1.58754328028586e-34	FALSE	1.53274541874956
PROM1	0.163483283989421	0	0	3.61300834391359	3.44820023990009e-29	FALSE	1.51211893594836
SFRS13B	0.536662282546495	0	0	2.57530515647622	3.9670576744173e-61	FALSE	1.47044155310962
MDGA2	0.230670569680811	0.0439478435794398	0	2.114499224858	1.0446229517033e-49	FALSE	1.4606337334297
DEGS2	0.184537466525981	0	0	-3.50900828822808	2.76097674098737e-55	FALSE	1.44836801404623
CHAD	0.115667981011231	0	0	-3.68699779708208	1.66094531041112e-38	FALSE	1.43780127103094
FAM171A1	0.749675057337842	0	0	1.95907170508968	1.11909962607648e-46	FALSE	1.41435932876517
PTPRT	0.0938815888164559	0	0	-3.71969039313956	1.63935965612737e-35	FALSE	1.40256204600197
SOX10	0.274659932495752	0	0	3.23008150350819	6.30972894650363e-19	FALSE	1.40004553266201
RGS22	0.210642406099424	0	0	-3.39504664439247	8.08007350168856e-43	FALSE	1.38956845104379
IL12RB2	0.214999394951764	0	0	3.37384612094887	3.40681318153196e-55	FALSE	1.37680990729899
SLC7A2	0.146951484921559	0	0	-3.55674817462971	1.03930095588632e-43	FALSE	1.37587321433178
ROPN1B	0.155357803890419	0	0	3.53014179307273	1.05897554848205e-39	FALSE	1.37057019361247
DHRS2	0.110917505096317	0	0	-3.64861958124513	6.22308954438021e-23	FALSE	1.36864721078777
C10orf116	0.402844456241137	0	0	-2.84730079964361	7.22575424774322e-57	FALSE	1.35015445774069
HPX	0.242311235837022	0	0	-3.27598345918254	1.68996866814118e-43	FALSE	1.34415526976968
ADAMTS15	0.162187802062523	0	0	-3.47818112484687	6.26828379142302e-56	FALSE	1.32527390294892
IGFALS	0.414831662484527	0	0	-2.75917567657869	2.23391473941594e-36	FALSE	1.27480283495384
AFF3	0.110107872051529	0	0	-3.57287236217841	3.70681485338798e-53	FALSE	1.26337769939223
CLSTN2	0.215433193278409	0	0	-3.28505134202026	1.2996014296818e-50	FALSE	1.25844750843723
ZNF703	0.565497271813613	0	0	-2.34033386345919	1.03455245022576e-49	FALSE	1.25813261975744
ULBP3	0.622587074153485	0	0	2.16416778260385	1.50735689391622e-41	FALSE	1.22823157049811
C20orf114	0.0447827216600604	0	0	-3.71941097004123	5.49542263654802e-31	FALSE	1.22324457045886
CEACAM5	0.0513909950467588	0	0	-3.68231175409288	1.91483441660697e-25	FALSE	1.19721495376565
NCAN	0.0906751040715681	0.0413779084234846	0	2.36764731707317	6.11979341385421e-40	FALSE	1.19133513444423
